DIGITAL CHAMA SEEDED MEMBER CREDENTIALS
Generated At: 2026-02-27T11:38:26.971230+00:00
Scope: all chamas
Mode: all users

chama,phone,password,full_name,email,notes
Demo Chama,+254700000002,,Main Secretary,secretary@digitalchama.co.ke,existing password unchanged
Demo Chama,+254700000003,,Main Treasurer,treasurer@digitalchama.co.ke,existing password unchanged
Demo Chama,+254700000004,,Alice Member,alice@digitalchama.co.ke,existing password unchanged
Demo Chama,+254700000005,,Bob Member,bob@digitalchama.co.ke,existing password unchanged
Demo Chama,+254700000006,,Charlie Member,charlie@digitalchama.co.ke,existing password unchanged
Demo Chama,+254700000007,,Diana Member,diana@digitalchama.co.ke,existing password unchanged
Demo Chama,+254700000008,,Eve Member,eve@digitalchama.co.ke,existing password unchanged
Digital Chama Alpha,+254700000002,,Main Secretary,secretary@digitalchama.co.ke,existing password unchanged
Digital Chama Alpha,+254700000003,,Main Treasurer,treasurer@digitalchama.co.ke,existing password unchanged
Digital Chama Alpha,+254715000001,,Amina Njuguna,amina.njuguna.001@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000002,,Brian Kamau,brian.kamau.002@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000003,,Caroline Mwangi,caroline.mwangi.003@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000004,,David Wanjiru,david.wanjiru.004@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000005,,Esther Kiprop,esther.kiprop.005@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000006,,Felix Njuguna,felix.njuguna.006@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000007,,Grace Kamau,grace.kamau.007@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000008,,Hassan Mwangi,hassan.mwangi.008@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000009,,Irene Wanjiru,irene.wanjiru.009@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000010,,James Kiprop,james.kiprop.010@members.digitalchama.test,existing password unchanged
Digital Chama Alpha,+254715000011,,Kevin Njuguna,kevin.njuguna.011@members.digitalchama.test,existing password unchanged
